"id","cfop_id_from:id","fiscal_type_id:id","cfop_id_to:id","active"
"cfop_escrit_from_to_5101_00_1102","l10n_br_fiscal.cfop_5101","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_1102","True"
"cfop_escrit_from_to_5101_01_1101","l10n_br_fiscal.cfop_5101","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_1101","True"
"cfop_escrit_from_to_5101_07_1556","l10n_br_fiscal.cfop_5101","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_1556","True"
"cfop_escrit_from_to_5101_08_1551","l10n_br_fiscal.cfop_5101","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_1551","True"
"cfop_escrit_from_to_5102_00_1102","l10n_br_fiscal.cfop_5102","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_1102","True"
"cfop_escrit_from_to_5102_01_1101","l10n_br_fiscal.cfop_5102","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_1101","True"
"cfop_escrit_from_to_5102_07_1556","l10n_br_fiscal.cfop_5102","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_1556","True"
"cfop_escrit_from_to_5102_08_1551","l10n_br_fiscal.cfop_5102","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_1551","True"
"cfop_escrit_from_to_5103_00_1102","l10n_br_fiscal.cfop_5103","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_1102","True"
"cfop_escrit_from_to_5103_01_1101","l10n_br_fiscal.cfop_5103","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_1101","True"
"cfop_escrit_from_to_5103_07_1556","l10n_br_fiscal.cfop_5103","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_1556","True"
"cfop_escrit_from_to_5103_08_1551","l10n_br_fiscal.cfop_5103","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_1551","True"
"cfop_escrit_from_to_5104_00_1102","l10n_br_fiscal.cfop_5104","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_1102","True"
"cfop_escrit_from_to_5104_01_1101","l10n_br_fiscal.cfop_5104","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_1101","True"
"cfop_escrit_from_to_5104_07_1556","l10n_br_fiscal.cfop_5104","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_1556","True"
"cfop_escrit_from_to_5104_08_1551","l10n_br_fiscal.cfop_5104","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_1551","True"
"cfop_escrit_from_to_6101_00_2102","l10n_br_fiscal.cfop_6101","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_2102","True"
"cfop_escrit_from_to_6101_01_2101","l10n_br_fiscal.cfop_6101","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_2101","True"
"cfop_escrit_from_to_6101_07_2556","l10n_br_fiscal.cfop_6101","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_2556","True"
"cfop_escrit_from_to_6101_08_2551","l10n_br_fiscal.cfop_6101","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_2551","True"
"cfop_escrit_from_to_6102_00_2102","l10n_br_fiscal.cfop_6102","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_2102","True"
"cfop_escrit_from_to_6102_01_2101","l10n_br_fiscal.cfop_6102","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_2101","True"
"cfop_escrit_from_to_6102_07_2556","l10n_br_fiscal.cfop_6102","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_2556","True"
"cfop_escrit_from_to_6102_08_2551","l10n_br_fiscal.cfop_6102","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_2551","True"
"cfop_escrit_from_to_6103_00_2102","l10n_br_fiscal.cfop_6103","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_2102","True"
"cfop_escrit_from_to_6103_01_2101","l10n_br_fiscal.cfop_6103","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_2101","True"
"cfop_escrit_from_to_6103_07_2556","l10n_br_fiscal.cfop_6103","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_2556","True"
"cfop_escrit_from_to_6103_08_2551","l10n_br_fiscal.cfop_6103","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_2551","True"
"cfop_escrit_from_to_6104_00_2102","l10n_br_fiscal.cfop_6104","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_2102","True"
"cfop_escrit_from_to_6104_01_2101","l10n_br_fiscal.cfop_6104","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_2101","True"
"cfop_escrit_from_to_6104_07_2556","l10n_br_fiscal.cfop_6104","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_2556","True"
"cfop_escrit_from_to_6104_08_2551","l10n_br_fiscal.cfop_6104","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_2551","True"
"cfop_escrit_from_to_5401_00_1403","l10n_br_fiscal.cfop_5401","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_1403","True"
"cfop_escrit_from_to_5401_01_1401","l10n_br_fiscal.cfop_5401","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_1401","True"
"cfop_escrit_from_to_5401_07_1407","l10n_br_fiscal.cfop_5401","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_1407","True"
"cfop_escrit_from_to_5401_08_1406","l10n_br_fiscal.cfop_5401","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_1406","True"
"cfop_escrit_from_to_5403_00_1403","l10n_br_fiscal.cfop_5403","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_1403","True"
"cfop_escrit_from_to_5403_01_1401","l10n_br_fiscal.cfop_5403","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_1401","True"
"cfop_escrit_from_to_5403_07_1407","l10n_br_fiscal.cfop_5403","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_1407","True"
"cfop_escrit_from_to_5403_08_1406","l10n_br_fiscal.cfop_5403","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_1406","True"
"cfop_escrit_from_to_5405_00_1403","l10n_br_fiscal.cfop_5405","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_1403","True"
"cfop_escrit_from_to_5405_01_1401","l10n_br_fiscal.cfop_5405","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_1401","True"
"cfop_escrit_from_to_5405_07_1407","l10n_br_fiscal.cfop_5405","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_1407","True"
