"id","cst_id_from:id","cst_id_to:id","active"
"cst_escrit_from_to_ipi_50_00","l10n_br_fiscal.cst_ipi_50","l10n_br_fiscal.cst_ipi_00","True"
"cst_escrit_from_to_ipi_51_01","l10n_br_fiscal.cst_ipi_51","l10n_br_fiscal.cst_ipi_01","True"
"cst_escrit_from_to_ipi_52_02","l10n_br_fiscal.cst_ipi_52","l10n_br_fiscal.cst_ipi_02","True"
"cst_escrit_from_to_ipi_53_03","l10n_br_fiscal.cst_ipi_53","l10n_br_fiscal.cst_ipi_03","True"
"cst_escrit_from_to_ipi_54_04","l10n_br_fiscal.cst_ipi_54","l10n_br_fiscal.cst_ipi_04","True"
"cst_escrit_from_to_ipi_55_05","l10n_br_fiscal.cst_ipi_55","l10n_br_fiscal.cst_ipi_05","True"
"cst_escrit_from_to_ipi_99_49","l10n_br_fiscal.cst_ipi_99","l10n_br_fiscal.cst_ipi_49","True"
"cst_escrit_from_to_icms_00_00","l10n_br_fiscal.cst_icms_00","l10n_br_fiscal.cst_icms_00","True"
"cst_escrit_from_to_icms_10_60","l10n_br_fiscal.cst_icms_10","l10n_br_fiscal.cst_icms_60","True"
"cst_escrit_from_to_icms_30_60","l10n_br_fiscal.cst_icms_30","l10n_br_fiscal.cst_icms_60","True"
"cst_escrit_from_to_icms_41_41","l10n_br_fiscal.cst_icms_41","l10n_br_fiscal.cst_icms_41","True"
"cst_escrit_from_to_icms_50_50","l10n_br_fiscal.cst_icms_50","l10n_br_fiscal.cst_icms_50","True"
"cst_escrit_from_to_icms_60_60","l10n_br_fiscal.cst_icms_60","l10n_br_fiscal.cst_icms_60","True"
"cst_escrit_from_to_icms_70_60","l10n_br_fiscal.cst_icms_70","l10n_br_fiscal.cst_icms_60","True"
