"id","item","code","name","segment","ncms"
"cest_0100100","1","01.001.00","Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores","01","38151210,38151290"
"cest_0100200","2","01.002.00","Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos","01","3917"
"cest_0100300","3","01.003.00","Protetores de caçamba","01","39181000"
"cest_0100400","4","01.004.00","Reservatórios de óleo","01","39233000"
"cest_0100500","5","01.005.00","Frisos, decalques, molduras e acabamentos","01","39263000"
"cest_0100600","6","01.006.00","Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias","01","40103,59100000"
"cest_0100700","7","01.007.00","Juntas, gaxetas e outros elementos com função semelhante de vedação","01","40169300,4823909"
"cest_0100800","8","01.008.00","Partes de veículos automóveis, tratores e máquinas autopropulsadas","01","40161010"
"cest_0100900","9","01.009.00","Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins","01","40169990,57050000"
"cest_0101000","10","01.010.00","Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico","01","59039000"
"cest_0101100","11","01.011.00","Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias","01","59090000"
"cest_0101200","12","01.012.00","Encerados e toldos","01","63061"
"cest_0101300","13","01.013.00","Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores","01","65061000"
"cest_0101400","14","01.014.00","Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias","01","6813"
"cest_0101500","15","01.015.00","Vidros de dimensões e formatos que permitam aplicação automotiva","01","70071100,70072100"
"cest_0101600","16","01.016.00","Espelhos retrovisores","01","70091000"
"cest_0101700","17","01.017.00","Lentes de faróis, lanternas e outros utensílios","01","70140000"
"cest_0101800","18","01.018.00","Cilindro de aço para GNV (gás natural veicular)","01","73110000"
"cest_0101900","19","01.019.00","Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0","01","73110000"
"cest_0102000","20","01.020.00","Molas e folhas de molas, de ferro ou aço","01","7320"
"cest_0102100","21","01.021.00","Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00","01","7325"
"cest_0102200","22","01.022.00","Peso de chumbo para balanceamento de roda","01","7806"
"cest_0102300","23","01.023.00","Peso para balanceamento de roda e outros utensílios de estanho","01","80070090"
"cest_0102400","24","01.024.00","Fechaduras e partes de fechaduras","01","830120,830160"
"cest_0102500","25","01.025.00","Chaves apresentadas isoladamente","01","83017"
"cest_0102600","26","01.026.00","Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns","01","83021000,83023000"
"cest_0102700","27","01.027.00","Triângulo de segurança","01","8310"
"cest_0102800","28","01.028.00","Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87","01","84073"
"cest_0102900","29","01.029.00","Motores dos tipos utilizados para propulsão de veículos automotores","01","84082"
"cest_0103000","30","01.030.00","Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408","01","84099"
"cest_0103100","31","01.031.00","Motores hidráulicos","01","84122"
"cest_0103200","32","01.032.00","Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão","01","84133"
"cest_0103300","33","01.033.00","Bombas de vácuo","01","84141000"
"cest_0103400","34","01.034.00","Compressores e turbocompressores de ar","01","8414801,8414802"
"cest_0103500","35","01.035.00","Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00","01","84139190,84149010,8414903,84149039"
"cest_0103600","36","01.036.00","Máquinas e aparelhos de ar condicionado","01","84152"
"cest_0103700","37","01.037.00","Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão","01","84212300"
"cest_0103800","38","01.038.00","Filtros a vácuo","01","84212990"
