"id","code","name","active","cst_ids/id"
"icms_deson_reason_1","1","Táxi","1","cst_icms_40,cst_icms_41,cst_icms_50"
"icms_deson_reason_3","3","Produtor Agropecuário","1","cst_icms_20,cst_icms_40,cst_icms_41,cst_icms_50,cst_icms_70,cst_icms_90"
"icms_deson_reason_4","4","Frotista/Locadora","1","cst_icms_40,cst_icms_41,cst_icms_50"
"icms_deson_reason_5","5","Diplomático/Consular","1","cst_icms_40,cst_icms_41,cst_icms_50"
"icms_deson_reason_6","6","Utilitários e Motocicletas da Amazônia Ocidental e Áreas de Livre Comércio (Resolução 714/88 e 790/94 – CONTRAN e suas alterações)","1","cst_icms_30,cst_icms_40,cst_icms_41,cst_icms_50"
"icms_deson_reason_7","7","SUFRAMA","1","cst_icms_30,cst_icms_40,cst_icms_41,cst_icms_50"
"icms_deson_reason_8","8","Venda a Órgão Público","1","cst_icms_40,cst_icms_41,cst_icms_50"
"icms_deson_reason_9","9","Outros. (NT 2011/004)","1","cst_icms_20,cst_icms_30,cst_icms_40,cst_icms_41,cst_icms_50,cst_icms_70,cst_icms_90"
"icms_deson_reason_10","10","Deficiente Condutor (Convênio ICMS 38/12)","1","cst_icms_40,cst_icms_41,cst_icms_50"
"icms_deson_reason_11","11","Deficiente Não Condutor (Convênio ICMS 38/12)","1","cst_icms_40,cst_icms_41,cst_icms_50"
"icms_deson_reason_12","12","Órgão de fomento e desenvolvimento agropecuário","1","cst_icms_20,cst_icms_40,cst_icms_41,cst_icms_50,cst_icms_70,cst_icms_90"
"icms_deson_reason_16","16","Olimpíadas Rio 2016 (NT 2015.002)","1","cst_icms_40,cst_icms_41,cst_icms_50"
"icms_deson_reason_90","90","Solicitado pelo Fisco (NT2016.002)","1","cst_icms_40,cst_icms_41,cst_icms_50"
