"id","code","category","ipi_cst_in:id","ipi_cst_out:id","active","name"
"ipi_guideline_001","001","Imunidade","cst_ipi_04","cst_ipi_54","1","Livros, jornais, periódicos e o papel destinado à sua impressão - Art. 18 Inciso I do Decreto 7.212/2010"
"ipi_guideline_002","002","Imunidade","cst_ipi_04","cst_ipi_54","1","Produtos industrializados destinados ao exterior - Art. 18 Inciso II do Decreto 7.212/2010"
"ipi_guideline_003","003","Imunidade","cst_ipi_04","cst_ipi_54","1","Ouro, definido em lei como ativo financeiro ou instrumento cambial - Art. 18 Inciso III do Decreto 7.212/2010"
"ipi_guideline_004","004","Imunidade","cst_ipi_04","cst_ipi_54","1","Energia elétrica, derivados de petróleo, combustíveis e minerais do País - Art. 18 Inciso IV do Decreto 7.212/2010"
"ipi_guideline_005","005","Imunidade","cst_ipi_04","cst_ipi_54","1","Exportação de produtos nacionais - sem saída do território brasileiro - venda para empresa sediada no exterior -atividades de pesquisa ou lavra de jazidas de petróleo e de gás natural - Art. 19 Inciso I do Decreto 7.212/2010"
"ipi_guideline_006","006","Imunidade","cst_ipi_04","cst_ipi_54","1","Exportação de produtos nacionais - sem saída do território brasileiro - venda para empresa sediada no exterior - incorporados a produto final exportado para o Brasil - Art. 19 Inciso II do Decreto 7.212/2010"
"ipi_guideline_007","007","Imunidade","cst_ipi_04","cst_ipi_54","1","Exportação de produtos nacionais - sem saída do território brasileiro - venda para órgão ou entidade de governo estrangeiro ou organismo internacional de que o Brasil seja membro, para ser entregue, no País, à ordem do comprador - Art. 19 Inciso III do Decreto 7.212/2010"
"ipi_guideline_101","101","Suspensão","cst_ipi_05","cst_ipi_55","1","Óleo de menta em bruto, produzido por lavradores - Art. 43 Inciso I do Decreto 7.212/2010"
"ipi_guideline_102","102","Suspensão","cst_ipi_05","cst_ipi_55","1","Produtos remetidos à exposição em feiras de amostras e promoções semelhantes - Art. 43 Inciso II do Decreto 7.212/2010"
"ipi_guideline_103","103","Suspensão","cst_ipi_05","cst_ipi_55","1","Produtos remetidos a depósitos fechados ou armazéns-gerais, bem assim aqueles devolvidos ao remetente - Art. 43 Inciso III do Decreto 7.212/2010"
"ipi_guideline_104","104","Suspensão","cst_ipi_05","cst_ipi_55","1","Produtos industrializados, que com matérias-primas (MP), produtos intermediários (PI) e material de embalagem (ME) importados submetidos a regime aduaneiro especial (drawback - suspensão/isenção), remetidos diretamente a empresas industriais exportadoras - Art. 43 Inciso IV do Decreto 7.212/2010"
"ipi_guideline_105","105","Suspensão","cst_ipi_05","cst_ipi_55","1","Produtos, destinados à exportação, que saiam do estabelecimento industrial para empresas comerciais exportadoras, com o fim específico de exportação - Art. 43, Inciso V, alínea ""a"" do Decreto 7.212/2010"
"ipi_guideline_106","106","Suspensão","cst_ipi_05","cst_ipi_55","1","Produtos, destinados à exportação, que saiam do estabelecimento industrial para recintos alfandegados onde se processe o despacho aduaneiro de exportação - Art. 43, Inciso V, alíneas ""b"" do Decreto 7.212/2010"
"ipi_guideline_107","107","Suspensão","cst_ipi_05","cst_ipi_55","1","Produtos, destinados à exportação, que saiam do estabelecimento industrial para outros locais onde se processe o despacho aduaneiro de exportação - Art. 43, Inciso V, alíneas ""c"" do Decreto 7.212/2010"
"ipi_guideline_108","108","Suspensão","cst_ipi_05","cst_ipi_55","1","Matérias-primas (MP), produtos intermediários (PI) e material de embalagem (ME) destinados ao executor de industrialização por encomenda - Art. 43 Inciso VI do Decreto 7.212/2010"
"ipi_guideline_109","109","Suspensão","cst_ipi_05","cst_ipi_55","1","Produtos industrializados por encomenda remetidos ao estabelecimento de origem - Art. 43 Inciso VII do Decreto 7.212/2010"
"ipi_guideline_110","110","Suspensão","cst_ipi_05","cst_ipi_55","1","Matérias-primas ou produtos intermediários remetidos para emprego em operação industrial realizada pelo remetente fora do estabelecimento - Art. 43 Inciso VIII do Decreto 7.212/2010"
"ipi_guideline_111","111","Suspensão","cst_ipi_05","cst_ipi_55","1","Veículo, aeronave ou embarcação destinados aemprego em provas de engenharia pelo fabricante - Art. 43 Inciso IX do Decreto 7.212/2010"
"ipi_guideline_112","112","Suspensão","cst_ipi_05","cst_ipi_55","1","Produtos remetidos, para industrialização ou comércio, de um para outro estabelecimento da mesma firma - Art. 43 Inciso X do Decreto 7.212/2010"
"ipi_guideline_113","113","Suspensão","cst_ipi_05","cst_ipi_55","1","Bens do ativo permanente remetidosa outro estabelecimento da mesma firma, para serem utilizados no processo industrial do recebedor - Art. 43 Inciso XI do Decreto 7.212/2010"
"ipi_guideline_114","114","Suspensão","cst_ipi_05","cst_ipi_55","1","Bens do ativo permanente remetidosa outro estabelecimento, para serem utilizados no processo industrial de produtos encomendados pelo remetente - Art. 43 Inciso XII do Decreto 7.212/2010"
"ipi_guideline_115","115","Suspensão","cst_ipi_05","cst_ipi_55","1","Partes e peças destinadas ao reparo de produtos com defeito de fabricação, quando a operação for executada gratuitamente, em virtude de garantia - Art. 43 Inciso XIII do Decreto 7.212/2010"
"ipi_guideline_116","116","Suspensão","cst_ipi_05","cst_ipi_55","1","Matérias-primas (MP), produtos intermediários (PI) e material de embalagem (ME) de fabricação nacional, vendidos a estabelecimento industrial, para industrialização de produtos destinados à exportação ou a estabelecimento comercial, para industrialização em outro estabelecimento da mesma firma ou de terceiro, de produto destinado à exportação - Art. 43 Inciso XIV do Decreto 7.212/2010"
"ipi_guideline_117","117","Suspensão","cst_ipi_05","cst_ipi_55","1","Produtos para emprego ou consumo na industrialização ou elaboração de produto a ser exportado, adquiridos no mercado interno ou importados - Art. 43 Inciso XV do Decreto 7.212/2010"
"ipi_guideline_118","118","Suspensão","cst_ipi_05","cst_ipi_55","1","Bebidas alcóolicas e demais produtos de produção nacional acondicionados em recipientes de capacidade superior ao limite máximo permitido para venda a varejo - Art. 44 do Decreto 7.212/2010"
"ipi_guideline_119","119","Suspensão","cst_ipi_05","cst_ipi_55","1","Produtos classificados NCM 21.06.90.10 Ex 02, 22.01, 22.02, exceto os Ex 01 e Ex 02 do Código 22.02.90.00 e 22.03 saídos de estabelecimento industrial destinado a comercial equiparado a industrial - Art. 45 Inciso I do Decreto7.212/2010"
