"id","code","name"
"ncm_genre_01","01","Animais vivos."
"ncm_genre_02","02","Carnes e miudezas, comestíveis."
"ncm_genre_03","03","Peixes e crustáceos, moluscos e outros invertebrados aquáticos."
"ncm_genre_04","04","Leite e laticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos."
"ncm_genre_05","05","Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos."
"ncm_genre_06","06","Plantas vivas e produtos de floricultura."
"ncm_genre_07","07","Produtos hortícolas, plantas, raízes e tubérculos, comestíveis."
"ncm_genre_08","08","Fruta; cascas de citros (citrinos) e de melões."
"ncm_genre_09","09","Café, chá, mate e especiarias."
"ncm_genre_10","10","Cereais."
"ncm_genre_11","11","Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo."
"ncm_genre_12","12","Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens."
"ncm_genre_13","13","Gomas, resinas e outros sucos e extratos vegetais."
"ncm_genre_14","14","Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos."
"ncm_genre_15","15","Gorduras e óleos animais, vegetais ou de origem microbiana e produtos da sua dissociação; gorduras alimentícias elaboradas; ceras de origem animal ou vegetal."
"ncm_genre_16","16","Preparações de carne, peixes, crustáceos, moluscos, outros invertebrados aquáticos ou de insetos."
"ncm_genre_17","17","Açúcares e produtos de confeitaria."
"ncm_genre_18","18","Cacau e suas preparações."
"ncm_genre_19","19","Preparações à base de cereais, farinhas, amidos, féculas ou leite; produtos de pastelaria."
"ncm_genre_20","20","Preparações de produtos hortícolas, fruta ou de outras partes de plantas."
"ncm_genre_21","21","Preparações alimentícias diversas."
"ncm_genre_22","22","Bebidas, líquidos alcoólicos e vinagres."
"ncm_genre_23","23","Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais."
"ncm_genre_24","24","Tabaco e seus sucedâneos manufaturados; produtos, mesmo com nicotina, destinados à inalação sem combustão; outros produtos que contenham nicotina destinados à absorção da nicotina pelo corpo humano."
"ncm_genre_25","25","Sal; enxofre; terras e pedras; gesso, cal e cimento."
"ncm_genre_26","26","Minérios, escórias e cinzas."
"ncm_genre_27","27","Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais."
"ncm_genre_28","28","Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos."
"ncm_genre_29","29","Produtos químicos orgânicos."
"ncm_genre_30","30","Produtos farmacêuticos."
"ncm_genre_31","31","Adubos (fertilizantes)."
"ncm_genre_32","32","Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever."
"ncm_genre_33","33","Óleos essenciais e resinoides; produtos de perfumaria ou de toucador preparados e preparações cosméticas."
"ncm_genre_34","34","Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras para odontologia"" e composições para odontologia à base de gesso."
"ncm_genre_35","35","Matérias albuminoides; produtos à base de amidos ou de féculas modificados; colas; enzimas."
"ncm_genre_36","36","Pólvoras e explosivos; artigos de pirotecnia; fósforos; ligas pirofóricas; matérias inflamáveis."
"ncm_genre_37","37","Produtos para fotografia e cinematografia."
"ncm_genre_38","38","Produtos diversos das indústrias químicas."
"ncm_genre_39","39","Plástico e suas obras."
"ncm_genre_40","40","Borracha e suas obras."
"ncm_genre_41","41","Peles, exceto as peles com pelo, e couros."
"ncm_genre_42","42","Obras de couro; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artigos semelhantes; obras de tripa."
"ncm_genre_43","43","Peles com pelo e suas obras; peles com pelo artificiais."
"ncm_genre_44","44","Madeira, carvão vegetal e obras de madeira."
"ncm_genre_45","45","Cortiça e suas obras."
"ncm_genre_46","46","Obras de espartaria ou de cestaria."
"ncm_genre_47","47","Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e resíduos)."
"ncm_genre_48","48","Papel e cartão; obras de pasta de celulose, papel ou de cartão."
"ncm_genre_49","49","Livros, jornais, gravuras e outros produtos das indústrias gráficas; textos manuscritos ou datilografados, planos e plantas."
"ncm_genre_50","50","Seda."
"ncm_genre_51","51","Lã, pelos finos ou grosseiros; fios e tecidos de crina."
"ncm_genre_52","52","Algodão."
"ncm_genre_53","53","Outras fibras têxteis vegetais; fios de papel e tecidos de fios de papel."
"ncm_genre_54","54","Filamentos sintéticos ou artificiais; lâminas e formas semelhantes de matérias têxteis sintéticas ou artificiais."
"ncm_genre_55","55","Fibras sintéticas ou artificiais, descontínuas."
"ncm_genre_56","56","Pastas (ouates), feltros e falsos tecidos (tecidos não tecidos); fios especiais; cordéis, cordas e cabos; artigos de cordoaria."
"ncm_genre_57","57","Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis."
"ncm_genre_58","58","Tecidos especiais; tecidos tufados; rendas; tapeçarias; passamanarias; bordados."
"ncm_genre_59","59","Tecidos impregnados, revestidos, recobertos ou estratificados; artigos para usos técnicos de matérias têxteis."
"ncm_genre_60","60","Tecidos de malha."
"ncm_genre_61","61","Vestuário e seus acessórios, de malha."
"ncm_genre_62","62","Vestuário e seus acessórios, exceto de malha."
"ncm_genre_63","63","Outros artigos têxteis confeccionados; sortidos; artigos de matérias têxteis e artigos de uso semelhante, usados; trapos."
"ncm_genre_64","64","Calçado, polainas e artigos semelhantes; suas partes."
"ncm_genre_65","65","Chapéus e artigos de uso semelhante, e suas partes."
"ncm_genre_66","66","Guarda-chuvas, sombrinhas, guarda-sóis, bengalas, bengalas-assentos, chicotes, pingalins, e suas partes."
"ncm_genre_67","67","Penas e penugem preparadas e suas obras; flores artificiais; obras de cabelo."
"ncm_genre_68","68","Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes."
"ncm_genre_69","69","Produtos cerâmicos."
