"id","name","code","active"
"product_fiscal_type_00","Mercadoria para Revenda","00","1"
"product_fiscal_type_01","Matéria-prima","01","1"
"product_fiscal_type_02","Embalagem","02","1"
"product_fiscal_type_03","Produto em Processo","03","1"
"product_fiscal_type_04","Produto Acabado","04","1"
"product_fiscal_type_05","Subproduto","05","1"
"product_fiscal_type_06","Produto Intermediário","06","1"
"product_fiscal_type_07","Material de Uso e Consumo","07","1"
"product_fiscal_type_08","Ativo Imobilizado","08","1"
"product_fiscal_type_09","Serviços","09","1"
"product_fiscal_type_10","Outros insumos","10","1"
"product_fiscal_type_99","Outras","99","1"
