"id","name","description","tax_base_type","table_date","percent_amount","cst_out_id:id","cst_in_id:id","tax_group_id:id"
"tax_cofins_0","COFINS 0%","Produto deve constar na tabela 4.3.13 do SPED ","percent","2025-06-23","0","cst_pis_cofins_06","cst_pis_cofins_73","tax_group_cofins"
"tax_cofins_3","COFINS 3%","Aliquota básica do regime cumulativo - Lucro Presumido","percent","","3","cst_pis_cofins_01","cst_pis_cofins_50","tax_group_cofins"
"tax_cofins_7_6","COFINS 7,6%","Aliquota básica do regime não cumulativo - Lucro Real","percent","","7.6","cst_pis_cofins_01","cst_pis_cofins_50","tax_group_cofins"
"tax_cofins_isento","COFINS Isento","Produto deve constar na tabela 4.3.14 do SPED ","percent","2013-02-26","0","cst_pis_cofins_07","cst_pis_cofins_71","tax_group_cofins"
"tax_cofins_monofasico_0","COFINS Monofásico 0%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","0","cst_pis_cofins_04","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_10_30","COFINS Monofásico 10,30%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","10.3","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_10_68","COFINS Monofásico 10,68%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","10.68","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_10_80","COFINS Monofásico 10,80%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","10.8","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_19_42","COFINS Monofásico 19,42%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","19.42","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_23_20","COFINS Monofásico 23,20%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","23.2","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
