"id","code","name"
"tax_domain_ipi","ipi","IPI"
"tax_domain_icms","icms","ICMS - Próprio"
"tax_domain_icmssn","icmssn","ICMS - Simples Nacional"
"tax_domain_icmssn_st","icmssn_st","ICMS - Simples Nacional ST"
"tax_domain_icmsfcp","icmsfcp","ICMS FCP - Fundo de Combate a Pobreza"
"tax_domain_icmsst","icmsst","ICMS - Subistituição Tributária"
"tax_domain_icmsfcpst","icmsfcpst","ICMS FCP ST- Fundo de Combate a Pobreza ST"
"tax_domain_piscofins","piscofins","PIS/COFINS"
"tax_domain_piscofinsst","piscofinsst","PIS/COFINS ST"
"tax_domain_piscofins_wh","piscofins_wh","PIS/COFINS WH"
"tax_domain_issqn","issqn","ISSQN"
"tax_domain_issqn_wh","issqn_wh","ISSQN WH"
"tax_domain_ir","ir","IR"
"tax_domain_irpj","irpj","IRPJ"
"tax_domain_irpj_wh","irpj_wh","IRPJ WH"
"tax_domain_csll","csll","CSLL"
"tax_domain_csll_wh","csll_wh","CSLL WH"
"tax_domain_ii","ii","II"
"tax_domain_inss","inss","INSS"
"tax_domain_inss_wh","inss_wh","INSS WH"
"tax_domain_simples","simples","Simples Nacional"
"tax_domain_others","others","Outros"
