"id","name","tax_domain_id:id","tax_include","tax_withholding","tax_scope","wh_due_day","base_with_additional_values"
"tax_group_cofins","COFINS","tax_domain_piscofins","True","False","federal","","True"
"tax_group_cofins_wh","COFINS RET","tax_domain_piscofins_wh","True","True","federal","20","False"
"tax_group_cofinsst","COFINS ST","tax_domain_piscofinsst","True","False","federal","","False"
"tax_group_csll","CSLL","tax_domain_csll","True","False","federal","","False"
"tax_group_csll_wh","CSLL RET","tax_domain_csll_wh","True","True","federal","20","False"
"tax_group_icms","ICMS","tax_domain_icms","True","False","state","","True"
"tax_group_icmsfcp","ICMS FCP","tax_domain_icmsfcp","True","False","state","","True"
"tax_group_icmsfcp_st","ICMS FCP ST","tax_domain_icmsfcpst","False","False","state","","True"
"tax_group_icmssn","ICMS - Simples Nacional","tax_domain_icmssn","True","False","state","","True"
"tax_group_ii","II","tax_domain_ii","True","False","federal","","False"
"tax_group_inss","INSS","tax_domain_inss","True","False","federal","","False"
"tax_group_inss_wh","INSS RET","tax_domain_inss_wh","True","True","federal","20","False"
"tax_group_ipi","IPI","tax_domain_ipi","False","False","federal","","True"
"tax_group_ir","IR","tax_domain_ir","True","False","federal","","False"
"tax_group_irpj","IRPJ","tax_domain_irpj","True","False","federal","","False"
"tax_group_irpj_wh","IRPJ RET","tax_domain_irpj_wh","True","True","federal","20","False"
"tax_group_issqn","ISSQN","tax_domain_issqn","True","False","city","","False"
"tax_group_issqn_wh","ISSQN RET","tax_domain_issqn_wh","True","True","city","10","False"
"tax_group_pis","PIS","tax_domain_piscofins","True","False","federal","","True"
"tax_group_pis_wh","PIS RET","tax_domain_piscofins_wh","True","True","federal","20","False"
"tax_group_pisst","PIS ST","tax_domain_piscofinsst","True","False","federal","","False"
