"id","name","additional_information"
"add_info_simples_nacional","Simples Nacional","Documento emitido por ME ou EPP optante pelo Simples Nacional."
"add_info_nao_gera_credito_fiscal_ipi","Não Gera Crédito Fiscal de IPI","Não gera crédito fiscal de IPI."
"add_info_mercadoria_remetida_para_demonstracao","Mercadoria remetida para demonstração","Mercadoria remetida para demonstração."
"add_info_imposto_suspenso_nos_termos_do_ajuste_sinief_02_18","Imposto suspenso nos termos do Ajuste SINIEF 02/18","Imposto suspenso nos termos do Ajuste SINIEF 02/18."
"add_info_bonificacao_doacao_brinde","Bonificação, doação ou brinde","Bonificação, doação ou brinde."
"add_info_simples_nacional_400","Simples Nacional 400","Simples Nacional 400."
"add_info_permite_aproveitamento_do_credito_de_icms_no_valor_de_r","Permite aproveitamento do crédito de ICMS no valor de R$ %(icms_credit_value)s; Correspondente à aliquota de %(icms_credit_percent)s%%, nos termos do art. 23, da LC 123/2006.","Permite aproveitamento do crédito de ICMS no valor de R$ %(icms_credit_value)s; Correspondente à aliquota de %(icms_credit_percent)s%%, nos termos do art. 23, da LC 123/2006."
"add_info_mercadaria_remessa_para_demonstracao","Mercadaria remessa para demonstração","Mercadaria remessa para demonstração."
"add_info_imposto_suspenso_nos_termos_do_ajuste_sinief_02_18","Imposto suspenso nos termos do Ajuste SINIEF 02/18","Imposto suspenso nos termos do Ajuste SINIEF 02/18."
"add_info_bonificacao_doacao_brinde","Bonificação, doação ou brinde","Bonificação, doação ou brinde."
"add_info_simples_nacional_400","Simples Nacional 400","Simples Nacional 400."
"add_info_permite_aproveitamento_do_credito_de_icms_no_valor_de_r","Permite aproveitamento do crédito de ICMS no valor de R$ %(icms_credit_value)s; Correspondente à aliquota de %(icms_credit_percent)s%%, nos termos do art. 23, da LC 123/2006.","Permite aproveitamento do crédito de ICMS no valor de R$ %(icms_credit_value)s; Correspondente à aliquota de %(icms_credit_percent)s%%, nos termos do art. 23, da LC 123/2006."
